"id";"title";"author";"year";"isbn"
"2764";"The Shining Girls";"Lauren Beukes";"2013";"0316216852"
"2765";"Dark Fire";"Christine Feehan";"2001";"0505524473"
"2766";"On the Way to Wedding";"Julia Quinn";"2006";"0060531258"
"2767";"Drop City";"T.C. Boyle, Richard Poe";"2003";"0142003808"
"2768";"Star Wars: Lost Stars";"Claudia Gray";"2015";"1484724984"
"2769";"The Sapphire Rose ";"David Eddings";"1991";"034537472X"
"2770";"The Runaway Jury";"John Grisham";"1996";"0385339690"
"2771";"The Shell Seekers";"Rosamunde Pilcher";"1987";"051722285X"
"2772";"Dark Rivers of the Heart";"Dean Koontz";"1994";"0553582895"
"2773";"Drowned Wednesday";"Garth Nix";"2004";"0439436567"
"2774";"Until You";"Judith McNaught";"1994";"0552143545"
"2775";"Tara Road";"Maeve Binchy";"1998";"0440235596"
"2776";"Revelations";"Melissa de la Cruz";"2008";"1423102282"
"2777";"The Feast of All Saints";"Anne Rice";"1979";"0345376048"
"2778";"Big Trouble";"Dave Barry";"1999";"0425178102"
"2779";"Stitches: A Memoir";"David Small";"2009";"0393068579"
"2780";"A Window Opens";"Elisabeth Egan";"2015";"1501105434"
"2781";"Darkest Hour";"Meg Cabot";"2001";"0060725141"
"2782";"Blood Red Road ";"Moira Young";"2011";"1442429984"
"2783";"Mountain Interval";"Robert Frost";"1916";"0486275507"
"2784";"Fuzzy Nation";"John Scalzi";"2011";"0765328542"
"2785";"A Gentleman in Moscow";"Amor Towles";"2016";"0670026190"
"2786";"Shadow Spell";"Nora Roberts";"2014";"0425259862"
"2787";"The Skull Throne";"Peter V. Brett";"2015";"0345531485"
"2788";"Songs of Willow Frost";"Jamie Ford";"2013";"0345522028"
"2789";"The Lost Saint";"Bree Despain";"2010";"1606840584"
"2790";"Partials";"Dan Wells";"2012";"0062071041"
"2791";"Prayers for Rain ";"Dennis Lehane";"1999";"0380730367"
"2792";"Fire Touched";"Patricia Briggs";"2016";"0425256766"
"2793";"A Different Blue";"Amy Harmon";"2013";"1482658143"
"2794";"Queen of Babble Gets Hitched";"Meg Cabot";"2008";"006085202X"
"2795";"Slave to Sensation";"Nalini Singh";"2006";"0425212866"
"2796";"The Wrath & the Dawn";"Renee Ahdieh";"2015";"0399171614"
"2797";"The Amulet of Samarkand";"Jonathan Stroud";"2003";"078681859X"
"2798";"The Memory of Earth";"Orson Scott Card";"1992";"0812532597"
"2799";"Supernova: Petir";"Dee Lestari";"2004";"9799822939"
"2800";"Children of the Mind";"Orson Scott Card";"1996";"0765304740"
"2801";"All the Pretty Horses";"Cormac McCarthy";"1992";"0679744398"
"2802";"Tyrannosaur Canyon";"Douglas Preston";"2005";"0765349655"
"2803";"The Akhenaten Adventure";"P.B. Kerr";"2004";"0439670209"
"2804";"Sabriel";"Garth Nix";"1995";"0064471837"
"2805";"Wicked Lovely ";"Melissa Marr";"2007";"0061214655"
"2806";"Graffiti Moon";"Cath Crowley";"2010";"0330425781"
"2807";"Magyk";"Angie Sage";"2005";"0060577312"
"2808";"The Heart Goes Last";"Margaret Atwood";"2015";"0385540353"
"2809";"These High, Green Hills";"Jan Karon";"1995";"1589190645"
"2810";"Living History";"Hillary Rodham Clinton";"2003";"0743222253"
"2811";"A Study in Scarlet";"Arthur Conan Doyle";"1887";"1420925539"
"2812";"Monster";"Frank E. Peretti";"2005";"1595541217"
"2813";"Deeper than Midnight";"Lara Adrian";"2011";"0440246113"
"2814";"The Likeness";"Tana French";"2008";"0670018864"
"2815";"Ragtime";"E.L. Doctorow";"1974";"0812978188"
"2816";"Second Chance Summer";"Morgan Matson";"2012";"1416990674"
"2817";"Cities of the Plain ";"Cormac McCarthy";"1996";"0679747192"
"2818";"Heartless";"Marissa Meyer";"2016";"1250044650"
"2819";"Half Blood Blues";"Esi Edugyan";"2011";"1846687756"
"2820";"City of Golden Shadow";"Tad Williams";"1996";"0886777631"
"2821";"Saphirblau";"Kerstin Gier";"2010";"3401063472"
"2822";"Deception Point";"Dan Brown";"2001";"0671027387"
"2823";"Chromosome 6";"Robin Cook";"1997";"0425161242"
"2824";"Christy";"Catherine Marshall";"1967";"0310241634"
"2825";"The Nest";"Cynthia D'Aprix Sweeney";"2016";"0062414216"
"2826";"Run";"Ann Patchett";"2007";"0061340634"
"2827";"Memory";"Doug Lloyd";"2015";"1632168146"
"2828";"On the Jellicoe Road";"Melina Marchetta";"2006";"0670070297"
"2829";"Lord of Scoundrels";"Loretta Chase";"1995";"0380776162"
"2830";"Rebel of the Sands";"Alwyn Hamilton";"2016";"0698410424"
"2831";"Skinny Legs and All";"Tom Robbins";"1990";"1842430343"
"2832";"T is for Trespass ";"Sue Grafton";"2007";"0399154485"
"2833";"The Girl of Fire and Thorns";"Rae Carson";"2011";"0062026488"
"2834";"In the Woods";"Tana French";"2007";"0670038601"
"2835";"Stone of Tears";"Terry Goodkind";"1995";"0312857063"
"2836";"The Assassin's Blade";"Sarah J. Maas";"2014";"1408852594"
"2837";"Vanish";"Sophie Jordan";"2011";"0061935107"
"2838";"A Trick of the Light";"Louise Penny";"2011";"0312655452"
"2839";"Beezus and Ramona";"Beverly Cleary";"1955";"0192750968"
"2840";"The Human Division";"John Scalzi";"2013";"0765333511"
"2841";"Barnyard Dance";"Sandra Boynton";"1993";"1563054426"
"2842";"Dark Desire";"Christine Feehan";"1999";"0843956534"
"2843";"Cleopatra's Daughter";"Michelle Moran";"2009";"184724954X"
"2844";"Twilight Eyes";"Dean Koontz";"1984";"0425100650"
"2845";"Lover Unbound";"J.R. Ward";"2007";"0451222350"
"2846";"The Namesake";"Jhumpa Lahiri";"2003";"0618485228"
"2847";"Pardonable Lies";"Jacqueline Winspear";"2005";"0312426216"
"2848";"The Summer I Turned Pretty";"Jenny Han";"2009";"1416968237"
"2849";"The Testament";"John Grisham";"1999";"0440234743"
"2850";"The Magic of Recluce";"L.E. Modesitt Jr.";"1991";"0812505182"
"2851";"The Year of Fog";"Michelle Richmond";"2006";"0385340117"
"2852";"Archangel's Blade";"Nalini Singh";"2011";"0425243915"
"2853";"SilverFin";"Charlie Higson";"2005";"078683661X"
"2854";"Lothaire";"Kresley Cole";"2012";"1439136823"
"2855";"Watership Down";"Richard Adams";"1972";"038039586X"
"2856";"Crank (Crank, #1)";"Ellen Hopkins";"2004";"0689865198"
"2857";"The Wounded Land";"Stephen R. Donaldson";"1979";"0345418468"
"2858";"Anne of Green Gables";"L.M. Montgomery";"1908";"0451528824"
"2859";"The Eternity Code";"Eoin Colfer";"2003";"0141321318"
"2860";"Key of Knowledge";"Nora Roberts";"2003";"0739439065"
"2861";"Lily and the Octopus";"Steven  Rowley";"2016";"1501126229"
"2862";"Rich Man, Poor Man";"Irwin Shaw";"1969";"0440174244"
"2863";"The Great Book of Amber";"Roger Zelazny";"1999";"0380809060"
"2864";"Love You More";"Lisa Gardner";"2011";"0553807250"
"2865";"Acceptance";"Jeff VanderMeer";"2014";"0374104115"
"2866";"Birthright";"Nora Roberts";"2003";"0515137111"
"2867";"Open City";"Teju Cole";"2011";"1400068096"
"2868";"Roses";"Leila Meacham";"2010";"0446550000"
"2869";"The Complete Works";"William Shakespeare";"1623";"0517053616"
"2870";"Best Kept Secret";"Jeffrey Archer";"2013";"125000098X"
"2871";"The Lions of Lucerne";"Brad Thor";"2002";"1416543686"
"2872";"The Magician King";"Lev Grossman";"2011";"043402080X"
"2873";"One Week Girlfriend";"Monica  Murphy";"2013";"098836946X"
"2874";"The Queen";"Kiera Cass";"2014";"0062351206"
"2875";"The Bitter Kingdom";"Rae Carson";"2013";"0062026542"
"2876";"Lucky";"Alice Sebold";"1999";"033041836X"
"2877";"Lucky";"Jackie Collins";"1985";"0743482867"
"2878";"Tiger's Quest";"Colleen Houck";"2011";"140278404X"
"2879";"The Simple Truth";"David Baldacci";"1998";"0446607711"
"2880";"A Rogue by Any Other Name";"Sarah MacLean";"2012";"0062068520"
"2881";"End of Watch";"Stephen King";"2016";"1501129740"
"2882";"La lenteur";"Milan Kundera, Linda Asher";"1995";"0060928417"
"2883";"The Colorado Kid";"Stephen King";"2005";"0843955848"
"2884";"The Fifth Season";"N.K. Jemisin";"2015";"0316229296"
"2885";"'Tis: A Memoir";"Frank McCourt";"1999";"0006551815"
"2886";"The Gold Coast";"Nelson DeMille";"1990";"0751531219"
"2887";"Cruel & Unusual";"Patricia Cornwell";"1993";"0380718340"
"2888";"X";"Sue Grafton";"2015";"0399163840"
"2889";"Valley of Silence";"Nora Roberts";"2006";"0786286806"
"2890";"Happy Ever After";"Nora Roberts";"2010";"1423368991"
"2891";"The Faithful Spy";"Alex Berenson";"2006";"0345478991"
"2892";"Rules";"Cynthia Lord";"2006";"0439443822"
"2893";"Z for Zachariah";"Robert C. O'Brien";"1974";"0435122118"
"2894";"Chasing the Dime";"Michael Connelly";"2002";"044661162X"
"2895";"Naked Heat";"Richard Castle";"2010";"1401324029"
"2896";"The Flamethrowers";"Rachel Kushner";"2013";"1439142009"
"2897";"Airport";"Arthur Hailey";"1968";"0425176088"
"2898";"The House at Tyneford";"Natasha Solomons";"2011";"0452297648"
"2899";"Howards End";"E.M. Forster";"1910";"0486424545"
"2900";"This Boy's Life: A Memoir";"Tobias Wolff";"1989";"0802136680"
"2901";"Dumplin'";"Julie   Murphy";"2015";"0062327186"
"2902";"Just One Look";"Harlan Coben";"2004";"0451213203"
"2903";"Temple";"Matthew Reilly";"1999";"0312981260"
"2904";"Plum Lucky ";"Janet Evanovich";"2008";"0312377630"
"2905";"The Gunslinger";"Stephen King";"1982";"0452284694"
"2906";"Back Spin";"Harlan Coben";"1997";"0440222702"
"2907";"Fallen";"Karin Slaughter";"2011";"0345528204"
"2908";"Zero Day";"David Baldacci";"2011";"0446573019"
"2909";"Revenge of the Spellmans";"Lisa Lutz";"2009";"1416593381"
"2910";"Gaudy Night";"Dorothy L. Sayers";"1935";"0061043494"
"2911";"The Passage";"Justin Cronin";"2010";"0345504968"
"2912";"The Exiled Queen";"Cinda Williams Chima";"2010";"1423118243"
"2913";"The Bookseller";"Cynthia Swanson";"2015";"0062333003"
"2914";"The Art of Fielding";"Chad Harbach";"2011";"0316126691"
"2915";"Le Roi Babar";"Jean de Brunhoff";"1933";"1405204664"
"2916";"Angels Fall";"Nora Roberts";"2006";"0399153721"
"2917";"Means of Ascent ";"Robert A. Caro";"1990";"067973371X"
"2918";"Shroud for a Nightingale";"P.D. James";"1971";"0743219600"
"2919";"The Wanderer";"Robyn Carr";"2013";"0778314472"
"2920";"The Last Full Measure";"Jeff Shaara";"1991";"0345434811"
"2921";"Unleash the Night";"Sherrilyn Kenyon";"2005";"0312934335"
"2922";"Sandstorm";"James Rollins";"2004";"0060580674"
"2923";"The 5th Wave";"Rick Yancey";"2013";"0399162410"
"2924";"Black 1. The Birth of Evil";"Ted Dekker";"2003";"1595540210"
"2925";"Kill Alex Cross";"James Patterson";"2011";"1846057647"
"2926";"The Rapture of Canaan";"Sheri Reynolds";"1995";"0425162443"
"2927";"The Client";"John Grisham";"1993";"0385339089"
"2928";"Pretties";"Scott Westerfeld";"2005";"0689865392"
"2929";"Outlander";"Diana Gabaldon";"1991";"0440242940"
"2930";"Sleepers";"Lorenzo Carcaterra";"1995";"2266071289"
"2931";"Graduation Day";"Joelle Charbonneau";"2014";"0547959214"
"2932";"The Private Patient";"P.D. James";"2008";"0571242448"
"2933";"Rise of the Evening Star";"Brandon Mull";"2006";"1590387422"
"2934";"The Power of Now";"Eckhart Tolle";"1997";"1577314808"
"2935";"A Mango-Shaped Space";"Wendy Mass";"2005";"0316058254"
"2936";"The Viscount Who Loved Me";"Julia Quinn";"2000";"0380815575"
"2937";"Angel ";"L.A. Weatherly";"2010";"1409521966"
"2938";"All Our Yesterdays";"Cristin Terrill";"2013";"1423176375"
"2939";"The Robber Bride";"Margaret Atwood";"1993";"0385491034"
"2940";"Born to Run";"Bruce Springsteen";"2016";"1501141511"
"2941";"Look Homeward, Angel";"Thomas Wolfe";"1929";"0743297318"
"2942";"Heartsick";"Chelsea Cain";"2007";"0312368461"
"2943";"My Life";"Bill Clinton";"2004";"140003003X"
"2944";"Bee Season";"Myla Goldberg";"2000";"0385498802"
"2945";"Generation Kill";"Evan Wright";"2004";"042520040X"
"2946";"Innocence";"Dean Koontz";"2013";"0553808036"
"2947";"The Peach Keeper ";"Sarah Addison Allen";"2011";"0553807226"
"2948";"Shopaholic Abroad";"Sophie Kinsella";"2001";"0440241812"
"2949";"The Last Policeman";"Ben H. Winters";"2012";"1594745765"
"2950";"The Sword in the Stone";"T.H. White";"1938";"000675399X"
"2951";"Red Dragon";"Thomas Harris";"1981";"0525945563"
"2952";"Tigers in Red Weather";"Liza Klaussmann";"2012";"0316211338"
"2953";"Mean Streak";"Sandra Brown";"2014";"1455581127"
"2954";"Delicious!";"Ruth Reichl";"2014";"1400069629"
"2955";"Lost in a Good Book";"Jasper Fforde";"2002";"0142004030"
"2956";"Magic Rises";"Ilona Andrews";"2013";"1937007588"
"2957";"Daddy's Little Girl";"Mary Higgins Clark";"2002";"0743460529"
"2958";"Heir to the Empire";"Timothy Zahn";"1991";"0553296124"
"2959";"MacRieve";"Kresley Cole";"2013";"1451649916"
"2960";"SantaLand Diaries";"David Sedaris";"1998";"0349119759"
"2961";"Where Rainbows End";"Cecelia Ahern";"2004";"0786891084"
"2962";"Ice Hunt";"James Rollins";"2003";"0060521600"
"2963";"Birdman";"Mo Hayder";"1999";"0440236169"
"2964";"Sweet Tooth";"Ian McEwan";"2012";"0224097377"
"2965";"Misguided Angel";"Melissa de la Cruz";"2010";"1423121287"
"2966";"The Uplift War";"David Brin";"1987";"0553279718"
"2967";"Sir Thursday";"Garth Nix";"2006";"0439436575"
"2968";"Big Brother";"Lionel Shriver";"2013";"0061458570"
"2969";"The Diamond Throne";"David Eddings";"1989";"0345367693"
"2970";"Bright Lights, Big City";"Jay McInerney";"1984";"0394726413"
"2971";"The Dark Half";"Stephen King";"1989";"045052468X"
"2972";"Everbound";"Brodi Ashton";"2013";"0062071165"
"2973";"Legally Blonde";"Amanda Brown";"2001";"0751534552"
"2974";"The Orenda";"Joseph Boyden";"2013";"0670064181"
"2975";"Silence";"Natasha Preston";"2012";"1480118516"
"2976";"Howl's Moving Castle";"Diana Wynne Jones";"1986";"006441034X"
"2977";"Reservation Blues";"Sherman Alexie";"1995";"0802141900"
"2978";"Elantris";"Brandon Sanderson";"2005";"0765350378"
"2979";"Cujo";"Stephen King";"1981";"0307348245"
"2980";"The Beast";"J.R. Ward";"2016";"045147516X"
"2981";"The Dark Tower";"Stephen King";"2004";"1416524525"
"2982";"The Monstrumologist";"Rick Yancey";"2009";"1416984488"
"2983";"Remember Me?";"Sophie Kinsella";"2008";"0593053893"
"2984";"We Are Water";"Wally Lamb";"2013";"0061941026"
"2985";"Hope to Die";"James Patterson";"2014";"178089015X"
"2986";"The Edge of Always";"J.A. Redmerski";"2013";"1455549002"
"2987";"Black Dawn";"Rachel Caine";"2012";"0451236718"
"2988";"Die Traumdeutung";"Sigmund Freud";"1899";"1566195764"
"2989";"Slade House";"David Mitchell";"2015";"0812998685"
"2990";"The Color Purple";"Alice Walker";"1982";"0671727796"
"2991";"Aftermath";"Chuck Wendig";"2015";"080417766X"
"2992";"Starters";"Lissa Price";"2012";"0385742371"
"2993";"Assassin's Apprentice";"Robin Hobb";"1995";"0006480098"
"2994";"Annihilation";"Jeff VanderMeer";"2014";"0374104093"
"2995";"Green Mars";"Kim Stanley Robinson";"1994";"0553572393"
"2996";"Book of Shadows";"Cate Tiernan";"2001";"0142409863"
"2997";"Tai-Pan";"James Clavell";"1966";"0440184622"
"2998";"Succulent Wild Woman";"S.A.R.K.";"1997";"068483376X"
"2999";"Shotgun Lovesongs";"Nickolas Butler";"2014";"1250039819"
"3000";"Seven Up";"Janet Evanovich";"2001";"0312980140"
"3001";"Silken Prey";"John Sandford";"2013";"0399159312"
"3002";"Mutant Message Down Under";"Marlo Morgan";"1990";"0060723513"
"3003";"The Dark Highlander";"Karen Marie Moning";"2002";"0440237556"
"3004";"Five Go to Smuggler's Top";"Enid Blyton";"1942";"0340796189"
"3005";"The Joy Luck Club";"Amy Tan";"1989";"0143038095"
"3006";"The Matlock Paper";"Robert Ludlum";"1973";"0752858637"
"3007";"Feed";"M.T. Anderson";"2002";"0763622591"
"3008";"The Illearth War";"Stephen R. Donaldson";"1977";"0345348664"
"3009";"I Am Number Four";"Pittacus Lore";"2010";"0061969559"
"3010";"Not My Daughter";"Barbara Delinsky";"2009";"0385524986"
"3011";"Doctors";"Erich Segal";"1988";"0553278118"
"3012";"Panic";"Lauren Oliver";"2014";"0062014552"
"3013";"All He Ever Wanted";"Anita Shreve";"2003";"0316010367"
"3014";"Black List";"Brad Thor";"2012";"1439192987"
"3015";"Story of a Girl";"Sara Zarr";"2007";"0316014532"
"3016";"Terrier";"Tamora Pierce";"2006";"037581468X"
"3017";"Franny and Zooey";"J.D. Salinger";"1961";"0316769029"
"3018";"September";"Rosamunde Pilcher";"1990";"0340752459"
"3019";"Mister Pip";"Lloyd Jones";"2006";"0385341067"
"3020";"xxxHOLiC #1";"CLAMP, William Flanagan";"2003";"0345470583"
"3021";"Magic's Promise";"Mercedes Lackey";"1990";"0886774012"
"3022";"Hell's Angels";"Hunter S. Thompson";"1966";"222109073X"
"3023";"Wizard at Large ";"Terry Brooks";"1987";"1857231031"
"3024";"The Lions of Little Rock";"Kristin Levine";"2012";"039925644X"
"3025";"Horus Rising";"Dan Abnett";"2006";"184416294X"
"3026";"Hallucinations";"Oliver Sacks";"1995";"0307957241"
"3027";"The Castle of Llyr";"Lloyd Alexander";"1966";"0805080503"
"3028";"Dreamless";"Josephine Angelini";"2012";"0062012010"
"3029";"The Book of Life";"Deborah Harkness";"2014";"0670025593"
"3030";"Two-Way Street";"Lauren Barnholdt";"2007";"1416913184"
"3031";"The Little Friend";"Donna Tartt";"2002";"1400031699"
"3032";"The Sword of Summer";"Rick Riordan";"2015";"1423160916"
"3033";"The Secret River";"Kate Grenville";"2005";"1841959146"
"3034";"The Art of Travel";"Alain de Botton";"2002";"0375725342"
"3035";"The Invisible Library";"Genevieve Cogman";"2015";"1447256239"
"3036";"The Blessing Way";"Tony Hillerman";"1970";"0061000019"
"3037";"Daring to Dream";"Nora Roberts";"1996";"0515142905"
"3038";"Laskar Pelangi";"Andrea Hirata";"2005";"9793062797"
"3039";"Best Friends Forever";"Jennifer Weiner";"2009";"0743294297"
"3040";"Tower Lord";"Anthony  Ryan";"2014";"0425265625"
"3041";"Salvage the Bones";"Jesmyn Ward";"2010";"1608195228"
"3042";"Don't Look Back";"Jennifer L. Armentrout";"2014";"1423175123"
"3043";"The Gargoyle";"Andrew Davidson";"2008";"0385524943"
"3044";"Karin";"Yuna Kagesaki";"2003";"1598163221"
"3045";"The Water-Method Man";"John Irving";"1972";"034541800X"
"3046";"The Damnation Game";"Clive Barker";"1985";"0425188930"
"3047";"Shadow Puppets";"Orson Scott Card";"2002";"0765340054"
"3048";"Brida";"Paulo Coelho, Montserrat Mira";"1990";"9504915248"
"3049";"Priestess of the White";"Trudi Canavan";"2005";"0060815701"
"3050";"Flawless";"Sara Shepard";"2007";"0060887338"
"3051";"How to Be Good";"Nick Hornby";"2001";"3426615355"
"3052";"State Of The Union";"Brad Thor";"2004";"1416543694"
"3053";"A Clockwork Orange";"Anthony Burgess";"1962";"0393312836"
"3054";"Last Orders";"Graham Swift";"1996";"0330489674"
"3055";"Sins & Needles";"Karina Halle";"2013";"1479359084"
"3056";"The Dragon Heir";"Cinda Williams Chima";"2008";"1423110706"
"3057";"Change of Heart";"Jodi Picoult";"2008";"0743496744"
"3058";"Hounded";"Kevin Hearne";"2011";"0345522478"
"3059";"The Pleasure of My Company";"Steve Martin";"2003";"0786888016"
"3060";"Magic Burns";"Ilona Andrews";"2008";"0441015832"
"3061";"Shards of Honor";"Lois McMaster Bujold";"1986";"0743468422"
"3062";"The Cold Dish";"Craig Johnson";"2004";"0143036424"
"3063";"Shadowland";"Alyson Noel";"2009";"031259044X"
"3064";"Deep Fathom";"James Rollins";"2001";"0380818809"
"3065";"Hearts in Atlantis";"Stephen King";"1999";"0340818670"
"3066";"The Island";"Victoria Hislop";"2005";"0755309510"
"3067";"I, Elizabeth";"Rosalind Miles";"1992";"0609809105"
"3068";"Astonish Me";"Maggie Shipstead";"2014";"0307962903"
"3069";"Duck On A Bike";"David Shannon";"2002";"0439050235"
"3070";"Darkness, Be My Friend";"John Marsden";"1996";"043985802X"
"3071";"Mattimeo";"Brian Jacques";"1990";"0441006108"
"3072";"Hark! A Vagrant";"Kate Beaton";"2011";"1770460608"
"3073";"When You Reach Me";"Rebecca Stead";"2009";"0385737424"
"3074";"Bagombo Snuff Box";"Kurt Vonnegut Jr.";"1999";"0099282968"
"3075";"Leviathan";"Scott Westerfeld";"2009";"1416971734"
"3076";"Crescendo";"Becca Fitzpatrick";"2010";"1416989439"
"3077";"The Red Queen";"Philippa Gregory";"2010";"1416563725"
"3078";"NOS4A2";"Joe Hill";"2013";"0062200577"
"3079";"Shadow of the Hegemon";"Orson Scott Card";"2000";"0812565959"
"3080";"Keep Quiet";"Lisa Scottoline";"2014";"1250010098"
"3081";"Sisterhood Everlasting";"Ann Brashares";"2011";"0385521227"
"3082";"Leviathan";"Paul Auster";"1992";"0140178139"
"3083";"Pyramids";"Terry Pratchett";"1989";"0061020656"
"3084";"World After";"Susan Ee";"2013";"1444778536"
"3085";"Time and Again";"Jack Finney";"1970";"0575073608"
"3086";"Something Blue";"Emily Giffin";"2005";"0312323867"
"3087";"Epic Fail";"Claire LaZebnik";"2011";"0061921262"
"3088";"The Gathering";"Kelley Armstrong";"2011";"0061797022"
"3089";"The Darkest Pleasure";"Gena Showalter";"2008";"0373773102"
"3090";"The Story of My Life";"Helen Keller";"1902";"0553213873"
"3091";"The Imperfectionists";"Tom Rachman";"2010";"0385343663"
"3092";"Shadowfever";"Karen Marie Moning";"2011";"0385341679"
"3093";"Very Valentine";"Adriana Trigiani";"2009";"0061257052"
"3094";"Why Not Me?";"Mindy Kaling";"2015";"0804138141"
"3095";"A Wrinkle in Time";"Madeleine L'Engle";"1962";"0440498058"
"3096";"The Revenant";"Michael Punke";"2002";"125006662X"
"3097";"Strangers on a Train";"Patricia Highsmith";"1950";"0393321983"
"3098";"The Ice Queen";"Alice Hoffman";"2005";"0316154385"
"3099";"Faking It ";"Jennifer Crusie";"2002";"0312932782"
"3100";"The People of Sparks";"Jeanne DuPrau";"2004";"0375828257"
"3101";"Food Rules";"Michael Pollan";"2008";"014311638X"
"3102";"Promises in Death";"J.D. Robb";"2009";"0399155481"
"3103";"Kane and Abel";"Jeffrey Archer";"1979";"0312995059"
"3104";"Dark Desires After Dusk";"Kresley Cole";"2008";"1416576754"
"3105";"Wolf Hall";"Hilary Mantel";"2009";"0007230206"
"3106";"Real";"Katy Evans";"2013";"1301347949"
"3107";"Euphoria";"Lily King";"2014";"0802122558"
"3108";"Indelible";"Karin Slaughter";"2004";"0060567112"
"3109";"Yu Yu Hakusho";"Yoshihiro Togashi";"1990";"1569319049"
"3110";"Dreamfever";"Karen Marie Moning";"2009";"0385341652"
"3111";"Tigana";"Guy Gavriel Kay";"1990";"0451457765"
"3112";"The Burning Land";"Bernard Cornwell";"2009";"000721975X"
"3113";"Storm Glass";"Maria V. Snyder";"2009";"0778325644"
"3114";"The Death Cure";"James Dashner";"2011";"0385738773"
"3115";"Rejoice";"Karen Kingsbury, Gary Smalley";"2004";"0084386874"
"3116";"Before I Die";"Jenny Downham";"2007";"0385613466"
"3117";"The Iron Daughter";"Julie Kagawa";"2010";"0373210132"
"3118";"W is for Wasted";"Sue Grafton";"2013";"0399158987"
"3119";"Dark Places";"Gillian Flynn";"2009";"0307341569"
"3120";"Strangers";"Dean Koontz";"1986";"0425181111"
"3121";"Ghost Town";"Rachel Caine";"2010";"0451231619"
"3122";"Brotherhood in Death";"J.D. Robb";"2016";"0399170898"
"3123";"Ash";"Malinda Lo";"2009";"0316040096"
"3124";"Firestar's Quest";"Erin Hunter";"2007";"0061131644"
"3125";"The Fifth Witness";"Michael Connelly";"2011";"0316069353"
"3126";"The Cider House Rules";"John Irving";"1985";"0786226749"
"3127";"Gabriel's redemption";"Sylvain Reynard";"2013";"0425266516"
"3128";"Prized";"Caragh M. O'Brien";"2011";"1596435704"
"3129";"Buried Prey";"John Sandford";"2011";"0399157387"
"3130";"The Witching Hour";"Anne Rice";"1990";"0099471426"
"3131";"And the Shofar Blew";"Francine Rivers";"2003";"0842365834"
"3132";"Wicked Business";"Janet Evanovich";"2012";"0345527771"
"3133";"How We Are Hungry";"Dave Eggers";"2005";"1400095565"
"3134";"The World Without Us";"Alan Weisman";"2007";"0312347294"
"3135";"Four to Score ";"Janet Evanovich";"1998";"0312966970"
"3136";"Field of Dishonor";"David Weber";"1994";"0743435745"
"3137";"Emotional Intelligence";"Daniel Goleman";"1995";"055380491X"
"3138";"The Confessor";"Daniel Silva";"2003";"014101587X"
"3139";"Off to Be the Wizard";"Scott  Meyer";"2013";"1612184715"
"3140";"The Raw Shark Texts";"Steven Hall";"2007";"1841959111"
"3141";"The Throne of Fire";"Rick Riordan";"2011";"1423140567"
"3142";"The Snowman";"Raymond Briggs";"1978";"0394839730"
"3143";"Interpreter of Maladies";"Jhumpa Lahiri";"1999";"0618101365"
"3144";"Deep Storm";"Lincoln Child";"2007";"0385515502"
"3145";"The Grey King";"Susan Cooper";"1975";"1416949674"
"3146";"Darker After Midnight";"Lara Adrian";"2012";"1849013764"
"3147";"The Last Child";"John Hart";"2009";"0312359322"
"3148";"Edenbrooke";"Julianne Donaldson";"2012";"1609089464"
"3149";"Grave Dance";"Kalayna Price";"2011";"0451464095"
"3150";"Women of the Silk";"Gail Tsukiyama";"1991";"0312099436"
"3151";"The Scarlet Thread ";"Francine Rivers";"1995";"0842342710"
"3152";"A Bridge Too Far";"Cornelius Ryan";"1974";"0450837319"
"3153";"Gone Tomorrow";"Lee Child";"2009";"0593057058"
"3154";"Blackout";"Mira Grant";"2012";"1841499005"
"3155";"Island";"Aldous Huxley";"1962";"0060085495"
"3156";"Rendezvous with Rama";"Arthur C. Clarke";"1973";"1857231589"
"3157";"Wallbanger";"Alice Clayton";"2012";"1623420024"
"3158";"The Jesus I Never Knew";"Philip Yancey";"1995";"031021923X"
"3159";"Blood Memory";"Greg Iles";"2005";"0743454154"
"3160";"Lonesome Dove";"Larry McMurtry";"1985";"067168390X"
"3161";"Duma Key";"Stephen King";"2008";"1416552510"
"3162";"The Virgin Blue";"Tracy Chevalier";"1997";"0452284449"
"3163";"Danny and the Dinosaur";"Syd Hoff";"1958";"0064440028"
"3164";"Paint It Black";"Janet Fitch";"2006";"0316182745"
"3165";"Paula";"Isabel Allende";"1994";"849759388X"
"3166";"Seabiscuit";"Laura Hillenbrand";"1999";"0345465083"
"3167";"The Twits";"Roald Dahl, Quentin Blake";"1980";"0141318309"
"3168";"Eating the Dinosaur";"Chuck Klosterman";"2009";"1416544208"
"3169";"Moonraker";"Ian Fleming";"1955";"0142002062"
"3170";"Destined";"P.C. Cast, Kristin Cast";"2011";"1905654871"
"3171";"Saturday";"Ian McEwan";"2005";"1400076196"
"3172";"Making Money";"Terry Pratchett";"2007";"0061161640"
"3173";"Me Talk Pretty One Day";"David Sedaris";"2000";"0349113912"
"3174";"More Than Human";"Theodore Sturgeon";"1953";"0375703713"
"3175";"Stone of Farewell";"Tad Williams";"1990";"0756402972"
"3176";"The Rosie Project";"Graeme Simsion";"2013";"1476729085"
"3177";"The Confusion";"Neal Stephenson";"2004";"0060733357"
"3178";"Interview with the Vampire";"Anne Rice";"1976";"0345476875"
